,acceptability,sentence
3742,1,The kids have arrived safely.
3565,1,I am anxious for you to study English grammar hard.
6979,1,These cars sold very quickly last week.
8025,0,The fig chuckled
5124,0,Lee solved the puzzle how Kim solved it.
3263,1,Bill dried the clothes with a hair dryer.
2748,0,Carmen obtained Mary a spare part.
1786,1,Willy is taller than Bill by as much as it is believed that Joe is taller than Dan.
4842,1,Whose car is blocking the entrance to the store?
8239,0,She wanted to can leave
7777,1,Gilgamesh has not read the cuneiform tablets.
3581,1,"I know I should go to the dentist's, but I just don't want to."
5258,0,Would not the men enjoy that?
4948,0,"The contestant, who is the judge's brother-in-law, who won the first prize sang dreadfully."
775,1,Our love their.
1464,0,It is possible that Sam didn't pick those packages which are to be mailed tomorrow up.
5817,1,A burlap sack of potatoes with mealy skins fell on the professor of linguistics with the terrible taste in T-shirts from the twelfth story.
5864,1,Martha said that Bill loved his Cheerios in the morning.
5904,1,It hailed.
2270,1,Jack sprayed paint on the wall.
5305,1,I worded the telegram tersely.
2538,0,I put the book from Edna.
6055,1,Andy promised we would go.
2776,0,Steve tossed Anna with the ball.
3254,1,Jennifer baked Idaho potatoes.
5807,1,Dan walked to New Mexico in the rain last year.
2780,0,Steve tossed at the ball.
959,1,John does not like Mary.
1244,1,Myron is making the claim that dead is better than red.
5977,1,Susan has a cold.
4390,0,He has been must being interrogated by the police at that very moment.
914,1,Dulles suspected everyone who Angleton did.
6956,1,Frank Churchill crosses the street.
255,1,"The more that pictures of him appear in the news, the more likely John is to get arrested."
3714,1,John sang a song and danced to the music.
3300,1,A fire raged over the fields.
2299,1,He turned from a prince into a frog.
7040,0,Which books did Robin read and talk to Chris?
520,1,The tree dropped fruit to the ground.
427,1,The kids have all eaten the chocolate.
2682,1,Nora brought the book to the meeting.
6174,1,I know several people who she kissed.
2358,0,I sought for game in the woods.
3815,1,She disappeared when the main party arrived.
8295,1,Did you drink the poison?
4067,0,That John coughs loves Bill.
2527,0,The politician perjured his aide.
27,1,Bill followed the road into the forest.
6578,1,I wonder when and how often she went that day.
7846,1,Gilgamesh should slowly be tickling the mandrake.
5066,1,I made the settlement of the matter my objective.
3140,1,Linda winked at the audience.
32,1,Bill coughed out the window.
4133,1,No John Smiths attended the meeting.
8488,0,Medea tried Medea to poison her children.
7442,1,John goes to school.
5701,1,Big bowls of beans are what I like.
6810,1,Both Jane and Elizabeth were at home.
6608,1,"Smith loaned, and his widow later donated, a valuable collection of manuscripts to the library."
3751,1,The dog fears thunder.
1000,0,I read three his books.
5565,0,Mary has more than Bill has friends enemies.
3115,1,Cynthia lunched on peaches.
8114,1,Gilgamesh should be slowly tickling the mandrake
325,1,"Louise is unhappy, isn't she?"
7703,1,Paul had eighty eight billion sixty three million forty-four thousand nine hundred at
6175,1,I know several people she kissed.
2411,1,$5 will buy you a ticket.
4928,1,There is a bench for you to sit on.
6929,1,The garden is certain to be planted with roses by the gardener.
1442,0,Is whether he played the piano known?
7732,1,Emily showed Benjamin himself in the mirror.
745,0,We proclaimed to the public John to be a hero.
5505,0,John is a decidedly too tall man.
5487,1,It was such an awful picture that I tore it up.
2192,1,The army lodged the soldiers in the schoolhouse.
2746,1,$50 won't even buy a dress at Bloomingdale's.
3623,1,What did you do?
5272,0,It proves that John is the murderer that he has blood on his hands.
7861,1,It was claimed by everyone that the poison was neutralised
5988,1,Calvin did not do a back flip.
3966,1,Frank hopes to persuade Harry to make the cook wash the dishes.
3223,1,Caesar put a gushing fountain by his palace.
4089,1,The outcome depends on how many candidates participate in the election.
6828,1,How is someone to chat to a girl if she does not go out?
996,1,Mary wants to wear nice blue German dress.
5834,1,I said that Mary signed my yearbook.
5120,1,He got what he wanted.
1389,1,That meeting I'd like to sit in on.
4899,1,We called the senators who met Fred.
4521,1,They'd leave soon.
2804,0,The fence hits easily.
6462,0,Paul has interviewed any student who was at the scene of the crime and Kate has interviewed them too.
2566,1,I lifted the books.
6176,1,I know several people that she kissed.
8283,0,"Danced extremely, Anson frantically at Trade"
3897,1,John stayed behind the counter.
825,1,I remembered him having kissed Mary.
3743,1,It could be more detrimental.
1783,1,Willy is taller than Bill by as much a Peter believes that Billy is taller than Dan.
4174,0,One people was dying of thirst.
169,0,"His expectations lower, the higher the stakes are."
1286,0,I went to the movies to not pick the shirts up.
6347,1,John asked if his essay would be published in the paper.
7649,1,for John to hurt himself is stupid.
7737,1,I was sitting not under the tree but under the bush
828,1,I enjoy taking a bath.
8358,0,Who seemed had poisoned Jason?
1337,1,I want to peruse that contract before filing away the deed.
5798,1,Mika loved the policeman intensely and Susan did so half heartedly.
6562,0,I know a man who Bill saw and liked Mary.
4612,0,John has chosen for the position.
7177,1,She may have and should have thawed the roast.
3392,1,They rowed along the canals of Venice.
4977,1,The victims of the earthquake their property was destroyed in the disaster were given temporary housing by the government.
1422,1,The boy's uncle and aunt were kissing.
3468,0,The room contains many furniture.
4006,0,The monkeys kept forgotten their lines.
545,1,The train reached the station.
4936,1,"Mary, who John asked for help, thinks he is foolish."
3738,1,"The lady singing with a boy is a genius, isn't he?"
1817,0,John tried Bill to play checkers.
1627,0,How brave they must believe the claim that you are!
8087,1,I tried for to get them.
5839,0,I've never seen him eats asparagus.
6433,1,Mary talks to any student.
5919,1,Susan ate yesterday at the restaurant.
8299,0,Jason whispered the phoenix had escaped
7427,0,"Yes, she used."
7919,1,Anson became happy
2297,0,Martha carved the piece of wood from a branch into a toy.
2446,1,There developed a problem.
8331,1,No one wanted any cake.
4324,0,We believed there to try to leave the country.
846,1,"JosÃ© ate cabbage, and Holly has too."
8519,1,Which poet wrote which ode?
4267,1,It tends to be warm in September.
683,1,Mary will play the violin soon.
6995,1,Pat was neither recommended for promotion nor under any illusions about what that meant.
8267,1,What Jason asked was whether the potion was ready
5717,1,A clever magician with the right equipment can fool the audience easily.
6827,1,These fields were marched over by all the armies of Europe.
947,1,Rusty talked about himself only after Holly did.
7685,0,John convinced the rice to be cooked by Bill.
2095,1,"I wrote a letter to Blair, but I tore it up before I sent it."
5729,1,I knew the man with the brown hair.
5651,1,the assassination of the president.
3142,0,Jennifer craned her arm.
3246,1,Copper rods bend easily.
5226,1,But these tickets are terrible!
1471,0,Which packages is it possible that Sam didn't pick up which are to be mailed tomorrow until it had stopped raining?
4544,1,He ought to leave his luggage here.
6051,1,John said Heidi was obsessed with broccoli.
6889,1,The baby is heavy.
3717,1,That Louise had abandoned the project surprised everyone.
7887,1,Mary fell.
6280,1,To improve yourself would be a good idea.
3204,0,The director sparkled the lights.
4864,1,He mended the shoe.
4663,1,John kicked him.
7865,1,His analysis of her was flawed
5923,1,I feel it is unfortunate that television is so vulgar these days.
5592,0,Toothbrush the is blue.
3450,0,The evidence that John found was more helpful than the one that Smith found.
4791,0,Tom claimed how much money she had spent.
5551,1,Mary has more friends than just Bill and Pete.
5523,1,John wants to find a solution better than Christine's.
3430,1,"The man, a ball kicked."
6395,1,Every man who saw the fly in the food didn't eat dinner.
8297,0,Her has kissed her.
7132,0,This girl in the red coat will put a picture of Bill on your desk it before tomorrow.
2472,1,Sarah sang a song.
2077,0,Smith envied his good fortune to Jones.
543,1,The maple changed into an oak.
7429,0,"Mary won't have been eating cake, but John."
5366,1,Sally eats caviar more than I had expected.
6640,1,Into which room did Jeeves sauntered?
4116,1,We made them take the money.
7668,0,John convinced Bill for Mary to sleep.
2072,1,Where did you send the package?
2258,1,The spaceship revolves around the earth.
642,1,Rub the cloth on the baby torn.
6493,1,Is it possible for everyone to to pledge $1000?
6171,1,I asked where you found it.
7010,1,Leslie was in the flood zone.
3037,1,Brenda and Molly met.
4803,1,Lee asked me how fond of chocolates the monkeys are.
7187,0,"Red picture desk, this girl in the red coat will put a picture of."
163,1,Mary gets depressed and she listens to the Grateful Dead.
2690,1,Amanda carried the package from Boston.
7836,1,Nathan showed Benjamin himself in the mirror.
7164,1,This girl in the red coat will eat her breakfast before tomorrow.
4373,0,Tom kicked not a ball.
2927,1,The secretary transcribed the speech.
7852,0,I ordered there to be three books on the subject.
5691,1,"Sorry, I gave last week."
2132,1,The farmer loaded apples into the cart.
966,0,Runs Mary the marathon?
8064,1,It is not true that I have left yet.
6270,1,Susan begged Bill to let her sing in the concert.
8118,1,Anson gave Fluffy to Jenny.
8139,0,What she thought that was the poison was neutralised
4370,0,We persuaded them to examine them.
137,1,Bill can well imagine getting fat.
6549,0,The talkative and a bully man entered.
4837,1,Why do you wonder whether she will invite me?
3919,1,The problem disappeared.
1304,1,"Tom picked these grapes, and I washed these grapes, and Suzie will prepare these grapes."
4184,1,John is in the room.
2104,0,I lent Tony the book partway.
3823,1,Mary received an award from the department.
1587,1,"After Henry had touched a sword, Webster did it."
3510,1,There seem to be a good feeling developing among the students.
2720,0,They lent me with a bicycle.
6597,0,"John offered, and Harry gave, Sally a Cadillac."
3509,1,Which chemical did you mix the hydrogen peroxide and?
3001,1,I admired him as a teacher.
6551,0,John is easy to please and to love Mary.
3198,1,The jewel sparkled.
6611,1,Ethel was sitting at her desk.
5548,1,Mary has more than two friends.
3976,0,Oliver drove me a lunatic.
3025,0,We rummaged the drawer for important documents.
468,1,He fed the children.
7227,1,which books about cooking does Henri want to buy?
4953,0,Who did he believe the claim that he had never met?
1007,0,That few boys came upset any of the teachers.
5004,0,To please John is eager.
7994,1,Gilgamesh has eaten the honey
4775,1,How happy has John been?
5663,1,I ate sugar.
6674,1,That piano was bought for his secret fiancÃ©e by the wealthy young man.
1396,1,Who are you trying to get hold of?
770,0,We love they.
6686,1,What did Frank buy for Jane.
6196,0,Who did you like and John?
6764,0,"When into the room came Aunt Norris, Fanny stopped talking."
5519,0,I've never seen the taller man than my father.
5507,0,That's an obviously so good solution.
6320,1,Chris liked which pictures of himself?
7634,1,Several people are sick.
3194,1,Brutus murdered Julius Caesar with a dagger.
3891,0,John stayed Kim behind the garage.
3160,0,My eyes are itching my brother.
3946,1,John saw Fred.
2589,1,Jessica loaded boxes onto the wagon.
2205,1,Tessa cut herself.
421,0,Who do you think that believes John to be innocent?
3396,1,He waltzed her across the floor.
6093,1,Have you always hated peanut butter?
863,1,It's to Mary that Joe said Holly can talk.
1428,1,The teacher who the reporters expected that the principal would fire is a crusty old jerk.
6798,0,He was knowing the country well.
8123,1,No one could remove the blood on the wall
3956,0,John carried to the door.
6290,1,Kathleen hates those pictures of herself.
6329,0,Heidi believes John's description of herself.
7105,0,"Pat wanted to go to Berne, and Chris going to Rome."
8503,1,Anson's hen nibbled his ear.
1030,1,Who will be offended if we don't invite which philosopher?
5822,1,The panther's coat is dark black.
747,0,We proclaimed sincerely John to be a hero.
7405,1,she is the mother of John.
3469,1,The paper provides many clues.
498,1,John believes Sally to be polite.
1562,1,Mike will sing if you will.
3364,1,A dog lay in the corner.
8516,1,What I arranged was for Jenny to be present.
1691,1,Maxwell is quite the doctor.
5932,1,Susan forgave Louis.
3626,1,What did he look up?
744,0,Frank promised the men all to leave.
6937,0,What she did was know this theory.
6712,1,Henry Crawford loved Fanny but Fanny loved Edmund.
573,1,John received a book.
1440,0,Did that he played the piano surprise you?
7251,1,whether she left is most unclear.
5242,1,I didn't help him because I have any sympathy for urban guerillas.
6411,1,The President thanked any soldier who had fought in the Gulf.
6532,0,Who do you regret you saw?
3114,1,Cynthia lunched.
7143,1,"This boy must not go to school, and his father must not go to school either."
6665,1,The terrier attacked the burglar.
5593,1,Cheese mice love stinks.
858,0,John is being discussed and Sally is being too.
4392,1,Mary would solve the problem.
6489,1,John liked anything that was placed before him.
4939,0,I met John who grows peaches.
3838,1,John runs into the house.
7739,1,Gilgamesh hasn't left
8430,0,I have sent 0 letter to Environmental Heath
6887,1,He planted the garden last November with roses.
5567,1,Jane has more nearly as many too many than Mary.
3131,1,Paul exhaled.
4743,1,Would you mind taking out the garbage?
581,0,Water emptied the cup.
1233,1,Max gave the car a shove.
3168,1,Sharon fainted at the sight of the accident.
1217,1,The man who ordered it said the pudding would be tasty.
8113,1,The scissors are lost
8224,1,It seems that Agamemnon is a maniac
6822,1,Alison drove the car.
5868,0,Some man has ever beaten the centaur.
7805,0,She liked Moya's football.
6506,1,"Every cat doesn't like mice, for example Felix doesn't."
2980,1,I saw the Mona Lisa.
3618,0,It was several young students in that the policeman met the park last night.
8389,1,Peter was at the party
3453,1,The student was hoping for a good clue.
8144,1,What did she eat?
444,0,Mickey slips all the time up.
5669,1,I asked if you knew the answer.
6507,1,"Almost every cat likes mice, but Felix doesn't."
2493,1,She stipulated her way out of the problem.
3947,1,Alice typed the letter.
6622,1,This truck spread less salt than that one.
4367,1,We persuaded the dentist to examine us.
8335,0,Those monkey are eating the banana.
4326,1,The cat tries to be out of the bag.
2043,0,Fred gave the ball under Molly.
4307,1,John persuaded Stephen to be more careful.
5334,1,I've never seen a man taller than my mother.
3671,1,This handsome man chased a dog.
1369,0,We elected guardian's employer president the boy.
663,1,The ship sank beneath the waves.
3740,1,"With their teacher, the kids have arrived safely, haven't they?"
4262,0,Seems John to fix the computer.
8375,1,Gomez's photograph of Pugsley belonging to Lucy.
2474,1,Sarah sang an aria.
4182,1,All of the land belongs to the government.
4402,1,It will rain tomorrow.
3196,1,The witch poisoned Snow White.
8475,1,Believing that the world is flat gives one some solace.
6892,1,Chew the biscuit!
8125,0,Gillian has made pasta and David is too.
491,1,John is refused.
3500,1,He said that that ` that ' that that man used was wrong.
7949,1,Lucy's analysis was the most successful
5113,1,And it was this matter on which I consulted with the chairman of the Select Committee.
4378,1,"If anybody is spoiling the children, John is."
2667,1,Nora sent the book from Paris.
3644,0,the whistle tune was beautiful.
6735,1,That Captain Wentworth married Anne astonished her father.
2022,0,Jake shipped the box towards Carson.
4270,0,It hopes to bother Kim that they resigned.
1014,1,Two students speak each language.
1799,1,The socks are ready for you to put on.
7191,0,"The red, this girl in the red coat will put a picture of Bill on your desk before tomorrow."
8225,0,Which city do you believe the claim that Philip would invade?
7111,1,"We consider Leslie rather foolish, and Lou a complete idiot."
1872,1,"Enrico, and he is the smartest of us all, got the answer in seven seconds."
1026,0,You filed every paper without inspecting.
3425,1,The man kicked a ball.
4050,1,Tom tends to avoid confrontations.
6778,0,Fanny stopped talking when in came Aunt Norris.
1546,1,John is prouder of having gone than Sally expected Joan to believe that the man who didn't shave would be.
7738,1,The child wails
6412,1,Every restaurant that advertises in any of these papers happens to have four stars in the handbook.
4385,0,Our team played all well.
1102,1,John is taller than Dill.
5123,0,Lee wants to meet who Kim hired.
4722,0,Six inches were grown by the boy.
275,0,"The more time that every senator spends with lobbyists, the more likely he succumbs to corruption."
3366,1,The convict escaped.
4984,0,What did Herb start to play only after he drank?
1479,1,It is not true that that it would confuse the guards for Herschel to throw a fit was obvious.
231,0,"When Bill smokes, much more does Susan hate him."
4399,1,Fred must have both been singing songs and been drinking beer.
7774,0,Genie intoned the mirror.
4101,0,My morning routine features swim free styles slowly for one hour.
7529,0,Himself likes John.
264,0,"Stories about himself seem to show up more on the evening news, the more that John gets upset by them."
3796,0,Today was visited by my uncle.
5615,0,Who do you think that saw Bill?
7969,0,Me gave it to him.
7159,1,This girl in the red coat but no boys will put a picture of Bill on your desk before tomorrow.
3755,1,The teapot was broken by the child by accident.
5340,1,I am more angry today than I was yesterday.
7921,1,"There's going to be a party, isn't there?"
5504,1,John a decidedly taller man than Bill.
2777,1,Steve tossed the ball to Anna.
6106,1,The audience laughed.
5148,1,Who do you think it is that Mary met?
7147,1,This girl will buy bread and so will that one buy bread.
5425,1,We made enough puddings to last for days.
6793,1,Julia and Maria wanted to be allowed to perform a play.
1049,1,All the men lifted the table together.
3927,1,The present king of country music is more popular than the last one.
5595,1,Rosie loves magazine ads.
2811,1,Paula swatted the fly.
605,1,The force of the wind broke the window.
7123,1,We talked about the issues we had worked on as students and that our perspectives had changed over the years.
5967,1,I had eaten the deep fried muffins.
6629,1,Flora cooks.
7831,1,We kicked ourselves
6155,0,A book was sent Louis.
3515,0,He washed ourselves.
2775,1,Steve tossed the ball at Anna.
3907,0,John locked Fido in the garage and Mary did so in the room.
6391,1,A woman who heard the news contributed to the fund.
282,1,"Any senator seems to become more corrupt, as he talks to more lobbyists."
2,1,One more pseudo generalization or I'm giving up.
3070,1,Ellen and Helen talked.
1326,0,What exploded when and I warned you it would?
4194,0,They are afraid people.
2349,1,I stalked the woods for game.
752,1,They represented Mary to the dean as a genuine linguist.
4034,0,There sings a man loudly.
5083,1,It's the second Monday that we get back from Easter holiday.
6945,1,Anne played the tune on the piano.
7291,1,My niece could more faithfully write me letters.
4260,1,Mary expected John to fix the computer.
2592,1,Jessica sprayed paint under the table.
920,0,"Sally will stand near Mag, but he won't Holly."
5110,1,It's the writer that gets you so involved.
2822,0,Paula spanked her right hand into the naughty child.
3598,0,The umpire fell it off.
2934,1,Martha carved a piece of wood into a toy for the baby.
1013,1,Each student speaks two languages.
299,1,"The harder that it rains, how much faster a flow do you see in the river?"
2679,1,The books slid across the table.
2116,1,Interviewing Richard Nixon gave Norman Mailer a book.
8115,0,Agamemnon seems PRO to be a maniac
7968,0,Who did Plato listen to DP Demosthenes' oration about?
8541,1,Where has he put the cake?
4290,1,The dentist is likely to examine Pat.
323,1,Aren't I going?
3008,0,Dorothy needs the skills in her.
3036,0,Brenda met.
4786,1,John asks whose book his son likes.
6511,1,The Dodgers beat the Red Sox and the Giants beat the Dodgers.
7404,1,she is the mother.
5887,1,George gave Jessica the book.
6730,1,The cottage which Mrs Dashwood accepted was very small.
7221,1,Henri wants the book which is on the top shelf.
1431,0,The hat which that I brought seemed strange to the nurse was a fedora.
1983,0,I gave Jack Ed's picture of myself.
6662,1,The cat trotted in the kitchen.
2579,0,Tamara poured at water into the bowl.
3832,1,There lived a man with his grandson.
4917,1,the pencil with which he is writing broke.
7281,0,"Think about linguistics all night, she does think about linguistics all night."
20,0,The professor talked us.
3256,1,Jennifer baked the potatoes in the oven.
4335,1,Jones would prefer for it to be clear to Barry that the city plans to sue him.
1884,1,Jack will have a hole in his pocket.
791,1,Mary considered John to have loved her.
677,1,Bill recited his lines poorly.
6782,1,Fanny had just stopped talking when in came Aunt Norris.
4741,1,Be very clever.
7315,0,I said.
3708,0,Could you turn off the fire and on the light?
7827,0,It's arrived first that Julie and Jenny
945,1,We like our friends and they like our friends too.
66,0,Bill pushed Harry off the sofa for hours.
2389,1,Angela characterized Shelly as a lifesaver.
7535,1,John loved the new pictures of himself.
7238,1,I doubt that Mary reads mysteries.
2952,0,I shaped a loaf from the dough.
6236,1,Jean persuaded Brian to leave.
717,1,The teacher ordered the two boys both to pay close attention.
5627,1,They are dancing.
4004,1,The monkeys kept forgetting their lines.
4386,1,The children will have been being entertained.
5372,0,Susan doesn't eat enough her vegetables.
3485,1,few clues could be found.
7169,0,This girl in the red coat will and dress must put a picture of Bill on your desk.
7366,1,I covered the bread with butter.
6302,1,Calvin will strike himself and Otto will too.
621,1,The ball lies completely in the box.
7402,1,They specialized.
1905,1,There was a yellow collar on the dog which the car injured.
3460,1,much furniture is needed.
3589,1,The two boys looked the word up.
6742,1,Because of the strike the commuters travelled by army lorry.
476,1,Did he try to ever be attentive to the needs of students?
7485,1,He will not endorse the treaty; and indeed.
1332,1,Fred tore the curtain in roiling it up.
559,1,Water fills the tub.
925,0,Truman visited yesterday you.
7060,0,What did you say I go and got?
2351,1,I stalked game in the woods.
2765,1,Michelle kept the papers behind the desk.
5068,1,I owe it to you that the jury acquitted me.
4543,1,John got sent to prison.
1827,0,I'm going to write to the Game Warden if more than one deer my neighbor brings back.
5927,0,John placed on the table.
3314,0,The magician echoed the music.
5469,1,She is as brilliant a woman as her mother.
5841,1,I think that he eats asparagus.
3212,1,A squeaking door announced John's presence.
4421,0,It may exist a man in the park.
45,1,The wagon rumbled down the road.
178,1,"I don't plan to lock the door, no matter how fancy this hotel is."
2352,0,We investigated for bombs in the area.
7293,0,Mary should buy some flowers some bread.
7403,1,She is proud.
351,1,down the hill rolled John.
2584,0,Cora coiled the post with the rope.
1460,1,A proof was given that the claim that John had lied had been made.
5630,1,The students met to discuss the project.
2170,1,The meat cuts easily.
3244,1,The rod bent.
3890,1,John kept him behind the garage.
6041,0,I wanted he should leave.
694,0,"Clearly, John perfectly will immediately learn French probably."
3645,0,the easily student finished his homework.
1734,1,"They said that Tom would pay up, and pay up he did."
5219,1,Every child should have a daily glass of milk.
4858,0,On whom does Dana believe Chris knows Sandy trusts?
6363,1,John kissed even the ugliest woman.
768,0,The lions ate at the meat raw.
8366,1,Aphrodite may quickly free the animals.
6264,1,Robert knew that it was necessary to behave himself.
4381,0,"You didn't leave, left you?"
2814,1,Paula swatted Deirdre's back.
599,1,The kettle bubbled water.
3231,1,The builders destroyed the warehouse with explosives.
5380,1,I did it more in jest than in anger.
7276,1,For him to win the race would surprise them.
5312,1,"Intelligent though he may seem, he does not seem deep."
1721,0,Mary and kissed an old friend who comes from Miami.
7230,0,I sent to you recipes.
3634,1,If John can speak French fluently â which we all know he can â we will have no problems.
1457,1,She did away with her father.
1208,0,Who does Phineas know a girl working with?
7839,1,Jason expected the doctor to treat Medea
6650,1,Barbara handed the intriguing results of the latest examination to Alan on Tuesday.
2346,1,Melissa searched the papers for a clue.
2700,1,Amanda drove the package to New York.
2540,1,I put books on the table.
3312,1,Through the hall echoed a loud cry.
4359,1,There is likely to be no student absent.
972,0,"I did not, as Bill had thought, go to the store."
5771,1,Gene Simmons was originally named Haim Goldberg.
5940,1,The apple was bitten by John.
7243,1,That is what you should see.
5466,1,I have half a dozen too many of these marbles.
5924,1,That Angus hates sushi is mysterious.
2098,1,"Ann copied the manuscript, but she didn't finish it."
3997,0,The student known the answers.
2603,1,Leslie staffed the store with employees.
1500,1,Proud of him I've never been.
3199,1,Jewels sparkled on the crown.
1543,0,John is prouder of having gone than than John expected me to believe not all.
4905,1,Mary knows that John was elected.
4342,0,Beth tried for Bill to ask a question.
6982,1,One bomb didn't guide and crashed.
3688,1,He intended to will the large amount of money to Frank.
5201,1,Every student who handed in some homework will get a prize.
2582,1,Water poured onto the plants.
807,0,Mary considered his to have loved her.
3945,1,John remained a student.
5014,1,Kim is eager to please.
7662,1,John believes Bill to have slept.
596,1,The tree lost some branches.
4222,1,Both of the workers will wear carnations.
583,0,The cup filled of water.
5794,0,the one of poems with a red cover takes a very long time to read.
3584,1,She thought it was likely that everyone might fit into the car.
904,1,Lilly should buy salmon and Mary should buy salmon too.
6812,1,Larry hunted all the foxes.
8176,1,The amoeba coughed and then it fainted.
3465,0,much bags is needed.
190,0,The more carefully he knows a man that worded the letter the safer he'll be.
4018,0,Monkeys are eager leaving the compound.
7098,1,"John left his office at 11 and at 12, the library."
4989,1,The fact that the scientists used the latest technology to verify was reported at the recent conference.
4318,0,It seems to be a fountain in the park.
3995,1,The students know the answers.
4053,0,Joe hoped for Beth to find a solution.
3635,1,"John asked me to put the clothes in the cupboard, and to annoy him I really stuffed them there."
469,1,The children were uneducated.
3928,0,The king of Rock and Roll is more popular than the one of country music.
3874,1,This is the gold that John put under the bathtub.
319,0,She hit the ball.
6555,1,The kennel in which Mary keeps drugs and Fido sleeps has been stolen.
4782,1,Who do you believe invited Sara?
59,1,This building got taller and wider than that one.
579,1,Water filled the cup high.
8129,1,Anson danced extremely frantically at Trade.
4086,1,We convinced him that the operation is safe.
1434,1,The piano which I disliked the boy's playing loudly was badly out of tune.
1787,1,The rock was too heavy for me to pick up.
4047,1,John would prefer to finish the oatmeal.
258,0,"The more that John gets upset by them, the more that stories about himself seem to show up in the news."
5836,1,I've never seen you eat asparagus.
7610,1,Whom did Bill leave.
4781,1,Who do you believe that Sara invited?
226,1,"Once Janet left, Fred became all the crazier."
5262,1,The men would not have all been working.
2721,0,A bicycle lent.
5650,1,Sincerity is an important quality.
4499,1,It would not be possible for the president to approve the bill.
2035,1,Jake threw the ball halfway to Bill.
8015,0,She has kissed she.
2731,1,Brown presented Jones with a plaque.
7151,1,Does some student from Australia speak Chinese?
4547,1,The gardener must trim the rose bushes today.
2484,0,The cook boned the fish of bones.
418,0,John wonders where him to go.
2374,0,I sensed him for his eagerness.
7724,1,I might have eaten some seaweed.
8378,1,The intrepid pirate and the fearful captain's mate sunk the galleon.
5382,1,There is enough bread for all of you.
1820,0,Bill would be easy for it to become expensive for you to chat with in Moscow.
1708,0,The hardest that I ever knew a man who said that it had snowed was last January 12th.
6459,1,Susan found every book she had been looking for at Borders.
8000,1,Who did drink the poison?
5426,0,We ate enough the puddings to satisfy us.
7613,1,There are 3 firemen available.
8476,1,Kick them!
542,1,The maple changed into an oak from a cedar.
978,1,Rome's destruction of Carthage was horrific.
5331,1,"Those people, after the party, will not come home."
8050,1,The reading of Shakespeare satisfied me
5929,0,The rock placed the sky with the fork.
1362,1,I'm going to ask Bill to make the old geezer take up these points later.
2353,0,We investigated bombs in the area.
8487,1,a. Madeleine planned to catch the sardines and she did.
7173,1,They play and I listen to unusual music.
7374,1,the student left.
5955,0,I ordered if John drink his beer.
1969,0,I deny that that Bob has some money is certain.
6306,1,"I know which guys you've dated, but I don't know which guys you haven't."
1663,1,"Fluffy is sick, which it is certain that no one here realizes."
4528,1,"Kim can dance, and Sandy can, too."
6182,1,What did Bill claim that he read?
4191,1,It is a wooden desk.
458,1,What does every student buy?
6836,1,Lucy sent a letter to Jane.
8002,1,"Sally is making scones, and Gillian is too."
700,0,John intimately spoke to Mary.
1963,0,The gun and a description of itself lay on the bureau.
6993,1,I am hoping to get an invitation and optimistic about my chances.
7544,1,John heard their criticism of themselves.
310,1,Which room did John see the man in?
424,1,My car was stolen.
6986,0,It's high time Fiona gets a job.
7495,0,Bill examined a book.
292,1,It is this problem that the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.
1573,0,He'll bring me one if he sees a hot dog.
102,1,"As you eat more, you want correspondingly less."
8166,1,Ron certainly will buy a dog.
2044,0,Fred gave the ball behind Molly.
7096,1,"A businessman will drink a martini to relax, and a health nut, a glass of wine, just to remain healthy."
1735,1,"They said that Tom would pay up, and pay up he will."
148,0,"It is important for the more you eat, the more careful you to be."
5125,0,Which book he read the book was that one.
7906,1,We believed Aphrodite to be omnipotent
7844,1,The consul's gift of the gladiator to himself.
4646,1,Chris was handed a note.
6553,1,John is easy to please and to love.
6941,1,The dog chased the cat for days.
2872,1,The eggs mixed with the cream.
7974,1,The pigs grunt
1246,0,Myra took Betty's snooze.
1421,0,The University's students are intelligent and faculty is committed to freedom.
4985,0,Who did Herb believe the claim that cheated?
7708,1,Who did you meet all when you were in Derry?
5052,1,That Chris knew the answer occurred to Pat.
5196,1,Are you prepared for school tomorrow?
4344,0,It is likely to seem to be arrogant.
2338,1,Alison pierced the cloth with a needle.
5373,1,John eats more.
6100,1,That John will leave is likely.
7381,1,"John, who I saw yesterday, will visit us."
2227,1,This knife doesn't cut.
7938,1,He left.
8289,1,The students demonstrated the technique this morning
3277,0,In price soared oil.
5726,1,I bought the parrot in the store.
2193,1,Heat radiates from the sun.
8040,0,"Who would Poseidon run away, if the executioner murdered?"
8256,1,I thought of the moon
3152,1,Sharon shivered from fear.
6974,1,We spent yesterday cooking.
3337,1,Snow caps the mountain.
7691,0,I sent Bill money to Mary to Sam.
3816,1,A boy hit the ball.
7373,1,I will read linguistics for an hour.
3914,1,Kim depends on Sandy.
1582,1,"After ten had left, seven more soldiers came in."
857,0,You shouldn't play with rifles because to is dangerous.
287,1,"The sooner you solve this problem, the more easily you'll satisfy the folks up at corporate headquarters."
7987,1,What she thought was that the poison was neutralised
5795,1,I loved the policeman intensely with all my heart.
3836,1,John resembles his mother.
3666,1,The squirrel ran straight.
1540,0,John is prouder of having gone than John didn't expect me to believe he would be.
7984,1,That photograph of Jane of Lucy's
7454,0,I wonder whether has Mary worked for Microsoft.
2751,0,Carmen obtained Diana of a spare part.
593,1,Some branches broke off of the tree.
6975,1,She buys for Harrods.
